1,test,test,1900-01-01
2,782015,JT,2016-03-02
3,JS-12001-15,MEN-SHUEN,2016-10-03
4,122016,JT,2016-12-03
5,172016,JT,2017-01-31
6,052016AD,MEN-SHUEN,2017-01-31
7,442016,JT,2016-04-08
8,432016,JT,2016-08-23
9,7/26/2016,MEN-SHUEN,2016-12-10
10,7/27/2016,MEN-SHUEN,2016-12-11
11,672016,YRC,2016-10-16
12,702016,YRC,2017-01-18
13,STOCK,JT,2015-06-10
14,822015,JT,2015-11-28
15,M09058462,JT,2015-08-10
16,712016,JT,2017-01-31
17,MDS11001-16,MEN-SHUEN,2017-01-13
18,MDS02001-17,MEN-SHUEN,2017-05-05
19,MDS07001-17,MEN-SHUEN,2017-08-25
20,MDS06001-17,MEN-SHUEN,2017-08-25
21,MSD09001-17,MEN-SHUEN,2017-11-15
22,MSD10001-17,MEN-SHUEN,2017-12-22
23,142017,JT,2017-04-22
24,MDS03001-17,MEN-SHUEN,2017-06-02
25,F1803022,JT,2018-03-20
26,F1802005,MEN-SHUEN,2018-04-24
27,F1804010,MEN-SHUEN,2018-06-22
28,F1806020,MEN-SHUEN,2018-08-17
29,F1806033,MEN-SHUEN,2018-08-31
30,F1806035,MEN-SHUEN,2018-08-31
31,F1806034,MEN-SHUEN,2018-08-31
32,F1807044,MEN-SHUEN,2018-10-02
33,F1809054,MEN-SHUEN,2018-11-14
34,F1810061,MEN-SHUEN,2018-12-11
35,F1812073,MEN-SHUEN,2019-03-01
36,58082654,YRC,2015-10-10
37,S20151208,SUN DREAM,2016-10-03
38,S20160621,SUN DREAM,2016-08-30
39,492016,YRC,2016-05-10
40,SUN03001-17,SUN DREAM,2017-06-16
41,SUN06001-17,SUN DREAM,2017-08-11
42,8152016,SUN DREAM,2016-12-10
43,642016,YRC,2016-10-22
44,SUN07006-17,SUN DREAM,2017-09-22
45,SUN09003-17,SUN DREAM,2017-09-21
46,SUN07006-20,SUN DREAM,2017-09-21
47,F1712004,YRC,2018-02-14
48,JOG-F1712002,SUN DREAM,2018-04-30
49,F1802004,SUN DREAM,2018-04-30
50,JOG-F1804009,SUN DREAM,2018-07-10
51,JOG-F1806018,SUN DREAM,2018-07-25
52,JOG-F1807038,SUN DREAM,2018-08-31
53,JOG-F1806031,SUN DREAM,2018-08-31
54,F1808046+38,SUN DREAM,2018-09-25
55,F1807039,SUN DREAM,2018-10-02
56,F1808046,SUN DREAM,2018-10-02
57,F1809053,SUN DREAM,2018-10-22
58,F1809057,SUN DREAM,2018-11-27
59,F1810062,SUN DREAM,2018-11-27
60,F1810066,SUN DREAM,2018-12-24
61,SUN09006-17,SUN DREAM,2017-12-18
62,1810066,SUN DREAM,2018-12-24
63,F1812071,SUN DREAM,2019-02-07
64,262016,JT,2016-05-17
65,212017,JT,2017-07-14
66,242017,JT,2017-07-14
67,242018,JT,2017-07-15
68,422017,JT,2017-08-25
69,412017,JT,2017-08-26
70,502017,JT,2017-10-20
71,NO#PO,Aek-Amorn,2015-08-10
72,152016,Aek-Amorn,2016-04-03
73,ไม่มีใบสั่งซื้อ,Aek-Amorn,2016-03-18
74,92017,Aek-Amorn,2017-02-06
75,202017,Aek-Amorn,2017-05-11
76,272017,Aek-Amorn,2017-06-15
77,312017,Aek-Amorn,2017-07-06
78,492017,Aek-Amorn,2017-09-20
79,G2W-F1801003,Aek-Amorn,2018-01-12
80,G2W-F1801004,Aek-Amorn,2018-01-18
81,G2W-F1802011,Aek-Amorn,2018-02-06
82,G2W-F1802013,Aek-Amorn,2018-02-19
83,G2W-F1801005,Aek-Amorn,2018-01-22
84,G2W-F1803020,Aek-Amorn,2018-03-19
85,G2W-F1803019,Mongkol,2018-03-29
86,G2W-F1803018,Mongkol,2018-05-05
87,G2W-F1806034,Mongkol,2018-06-25
88,G2W-F1806039,Mongkol,2018-07-21
89,G2W-F1805029,Aek-Amorn,2018-05-09
90,G2W-F1807050,Aek-Amorn,2018-07-31
91,G2W-F1808056,Aek-Amorn,2018-08-03
92,G2W-F1808045,Mongkol,2018-08-04
93,G2W-F1808048,Aek-Amorn,2018-08-14
94,G2W-F1808058,Aek-Amorn,2018-08-14
95,G2W-F1808052,Mongkol,2018-08-16
96,G2W-F1809062,Aek-Amorn,2018-09-26
97,G2W-F1809064,Mongkol,2018-10-11
98,G2W-F18010065,Aek-Amorn,2018-10-24
99,1811072,Aek-Amorn,2018-11-27
100,1811071,Mongkol,2018-11-29
101,1811074,Mongkol,2018-12-04
102,1811073,Mongkol,2018-12-14
103,1812075,Mongkol,2018-12-15
104,1901001,Aek-Amorn,2019-01-17
105,1901005,Aek-Amorn,2019-01-25
106,1901004,Aek-Amorn,2019-01-18
107,1901002,Aek-Amorn,2019-02-02
108,F1901003,Mongkol,2019-02-14
109,F1901007,Mongkol,2019-02-14
110,F1902012,Aek-Amorn,2019-02-25
111,F1902015,Aek-Amorn,2019-02-26
112,F1902013,Mongkol,2019-03-01
113,192014,YRC,2015-03-26
114,192015,YRC,2016-03-26
115,22017,YRC,2016-07-01
116,2517/029,NANYANG,2016-06-02
117,2517/037,NANYANG,2017-06-17
118,WILL04001-17,WILLINGTEX,2017-07-13
119,F1804013,WILLINGTEX,2018-06-29
120,WILL10001-17,WILLINGTEX,2018-01-12
121,F1805015,LEE YAW,2018-07-11
122,F1810064,WILLINGTEX,2018-12-03
123,F1810063,WILLINGTEX,2018-12-03
124,F1812072,WILLINGTEX,2019-01-31
125,812015,JT,2016-03-02
126,812014,JT,2016-03-01
127,382016,JT,2016-04-08
128,S20160601-1,TAIWAN,2016-08-30
129,792015,JT,2016-03-02
130,462016,JT,2016-09-14
131,SUN1100316,TAIWAN,2017-01-18
132,572016,JT,2016-10-15
133,SUN08002-16,TAIWAN,2016-10-18
134,SUN04001-17,TAIWAN,2017-06-16
135,442017,JT,2017-08-23
136,302017,YRC,2017-07-27
137,1807048,YRC,2017-08-15
138,A0348/59S,YRC,2016-04-26
139,G2W-F1801007,Tongsiang,2018-02-20
140,SUN11001-16,SUN DREAM,2017-01-18
141,722016,YRC,2017-05-29
142,SUN06002-17,SUN DREAM,2017-08-11
143,21/7/2016,SUN DREAM,2016-12-10
144,SUN07001-17,SUN DREAM,2017-09-22
145,SUN07004-17,SUN DREAM,2017-09-22
146,SUN09001-17,SUN DREAM,2017-10-30
147,F1802002,SUN DREAM,2018-04-30
148,F1804011,SUN DREAM,2018-07-10
149,F1808047,SUN DREAM,2018-10-22
150,F1809052,SUN DREAM,2018-10-22
151,F1809056,SUN DREAM,2018-11-27
152,812016,YRC,2017-05-29
153,SUN07005-17,SUN DREAM,2017-09-22
154,JOG-F1711001,SUN DREAM,2018-01-22
155,G2W-A1805031,Tongsiang,2018-05-24
156,G2W-A1805032,Tongsiang,2018-05-24
157,G2W-A1805030,JT,2018-05-24
158,G2W-F1805027,Mongkol,2018-06-07
159,F1808054,JT,2018-08-28
160,ECLAT05001-17,VIETNAM,2017-10-17
161,G2W-F1711002,YRC,2017-12-02
162,G2W-F1711003,YRC,2017-12-02
163,F1901006,Mongkol,2019-02-06
164,F1902011,ไทยจงหยก,2019-02-09
165,JOG-F1805016,LEE YAW,2018-07-03
166,F1806028,SUN DREAM,2018-08-31
167,WILL04001-14,WILLINGTEX,2018-01-12
168,WILL04001-13,WILLINGTEX,2018-01-12
169,WILL04001-12,WILLINGTEX,2018-01-12
170,WILL04001-08,WILLINGTEX,2018-01-12
171,WILL04001-04,WILLINGTEX,2018-01-12
172,WILL04001-03,WILLINGTEX,2018-01-12
173,WILL04001-02,WILLINGTEX,2018-01-12
174,WILL04001-01,WILLINGTEX,2018-01-12
175,WILL04001-05,WILLINGTEX,2018-01-12
176,WILL04001-06,WILLINGTEX,2018-01-12
177,WILL04001-07,WILLINGTEX,2018-01-12
178,F1802015,MONGKAL,2018-03-23
179,F1807040,MONGKAL,2018-07-24
180,F1808053,MONGKAL,2018-08-13
181,F1808060,MONGKAL,2018-09-13
182,F1811070,MONGKAL,2018-11-21
183,752016,Everest,2016-06-12
184,222017,Everest,2017-06-15
185,432017,Everest,2017-08-23
186,822017,Everest,2017-11-13
187,1805028,Everest,2018-06-12
188,1806035,Everest,2018-08-20
189,F1812076,Everest,2019-02-12
190,732015,Grandeur,2015-11-27
191,522016,Grandeur,2016-11-14
192,802016,Grandeur,2017-01-17
193,F1802012,Grandeur,2018-02-12
194,F1801001,Everest,2018-02-12
195,F1811068,Everest,2019-02-25
196,52017,ตากสิน,2017-02-20
197,1806036,Thammarat,2018-06-19
198,102015,THAI TAFFETA,2015-02-25
199,102016,THAI TAFFETA,2016-02-25
200,102014,THAI TAFFETA,2014-02-25
201,112016,Grandeur,2016-07-03
202,252016,Grandeur,2016-05-26
203,2517/049,รักษ์ผ้าร่ม,2017-05-25
204,332017,Grandeur,2017-08-11
205,292017,Grandeur,2017-08-11
206,472017,Grandeur,2017-10-12
207,452017,Grandeur,2017-10-12
208,522017,Grandeur,2017-11-23
209,G2WF1805027,Mongkol,2018-06-07
210,G2WF1808055,Mongkol,2018-08-27
211,G2WF1807041,Mongkol,2018-08-27
212,2517/013,SS Tex Tile,2017-02-08
213,2517/072,SS Tex Tile,2017-06-29
